Time,Sentiment
01/01/2021 09:06,1
01/01/2021 09:11,1
01/01/2021 09:16,0
01/01/2021 09:21,1
01/01/2021 09:26,1
01/01/2021 09:31,1
01/01/2021 09:36,1
01/01/2021 09:41,1
01/01/2021 09:46,1
01/01/2021 09:51,1
01/01/2021 09:57,1
01/01/2021 10:02,1
01/01/2021 10:07,1
01/01/2021 10:12,1
01/01/2021 10:17,1
01/01/2021 10:22,1
01/01/2021 10:27,1
01/01/2021 10:32,1
01/01/2021 10:37,1
01/01/2021 10:42,1
01/01/2021 10:47,1
01/01/2021 10:52,1
01/01/2021 10:57,1
01/01/2021 11:02,1
01/01/2021 11:07,1
01/01/2021 11:12,1
01/01/2021 11:17,1
01/01/2021 11:22,1
01/01/2021 11:27,1
01/01/2021 11:32,1
01/01/2021 11:37,1
01/01/2021 11:43,1
01/01/2021 11:48,1
01/01/2021 11:53,1
01/01/2021 11:58,1
01/01/2021 12:03,0
01/01/2021 12:08,1
01/01/2021 12:13,1
01/01/2021 12:18,1
01/01/2021 12:23,1
01/01/2021 12:28,0
01/01/2021 12:33,1
01/01/2021 12:38,1
01/01/2021 12:43,1
01/01/2021 12:48,1
01/01/2021 12:53,1
01/01/2021 12:58,1
01/01/2021 13:03,1
01/01/2021 13:08,1
01/01/2021 13:14,1
01/01/2021 13:19,1
01/01/2021 13:24,1
01/01/2021 13:29,1
01/01/2021 13:34,1
01/01/2021 13:39,1
01/01/2021 13:44,1
01/01/2021 13:49,1
01/01/2021 13:54,1
01/01/2021 13:59,1
01/01/2021 14:04,1
01/01/2021 14:09,1
01/01/2021 14:14,1
01/01/2021 14:19,1
01/01/2021 14:24,1
01/01/2021 14:29,1
01/01/2021 14:34,1
01/01/2021 14:39,1
01/01/2021 14:45,1
01/01/2021 14:50,1
01/01/2021 14:55,1
01/01/2021 15:00,1
01/01/2021 15:05,1
01/01/2021 15:10,1
01/01/2021 15:15,1
01/01/2021 15:20,1
01/01/2021 15:25,1
01/01/2021 15:30,1
01/01/2021 15:35,1
01/01/2021 15:40,1
01/01/2021 15:45,1
01/01/2021 15:50,0
01/01/2021 15:55,1
01/01/2021 16:00,1
01/01/2021 16:05,1
01/01/2021 16:10,1
01/01/2021 16:16,1
01/01/2021 16:21,1
